Master_ID,Child_ID,Relation_Type,Extracted_Date
809,90146,How,2019-11-14
50,90147,Help,2019-11-14
395,90148,Choose,2019-11-14
721,90149,Table,2019-11-14
684,90150,Conference,2019-11-14
941,90151,Test,2019-11-14
339,90152,Late,2019-11-14
133,90153,Billion,2019-11-14
689,90154,Record,2019-11-14
698,90155,Evening,2019-11-14
665,90156,Debate,2019-11-14
641,90157,Chance,2019-11-14
632,90158,Pass,2019-11-14
469,90159,Report,2019-11-14
782,90160,Sign,2019-11-14
496,90161,Woman,2019-11-14
422,90162,Worry,2019-11-14
972,90163,Response,2019-11-14
349,90164,Each,2019-11-14
857,90165,Agency,2019-11-14
383,90166,Option,2019-11-14
940,90167,School,2019-11-14
746,90168,Shake,2019-11-14
678,90169,Create,2019-11-14
187,90170,Red,2019-11-14
367,90171,Would,2019-11-14
825,90172,There,2019-11-14
990,90173,Guess,2019-11-14
17,90174,Great,2019-11-14
885,90175,Else,2019-11-14
807,90176,Necessary,2019-11-14
548,90177,Would,2019-11-14
597,90178,World,2019-11-14
281,90179,Old,2019-11-14
726,90180,Recently,2019-11-14
112,90181,Maybe,2019-11-14
404,90182,Part,2019-11-14
464,90183,Teach,2019-11-14
276,90184,White,2019-11-14
56,90185,Make,2019-11-14
840,90186,Discussion,2019-11-14
847,90187,Law,2019-11-14
272,90188,Movie,2019-11-14
156,90189,House,2019-11-14
873,90190,President,2019-11-14
152,90191,Buy,2019-11-14
695,90192,Almost,2019-11-14
743,90193,On,2019-11-14
11,90194,Activity,2019-11-14
774,90195,Song,2019-11-14
36,90196,Truth,2019-11-14
541,90197,Most,2019-11-14
706,90198,Reality,2019-11-14
55,90199,Describe,2019-11-14
434,90200,Help,2019-11-14
177,90201,Worker,2019-11-14
767,90202,Fire,2019-11-14
242,90203,Talk,2019-11-14
744,90204,Try,2019-11-14
665,90205,Within,2019-11-14
617,90206,Exist,2019-11-14
42,90207,Raise,2019-11-14
542,90208,Production,2019-11-14
709,90209,Ever,2019-11-14
324,90210,Actually,2019-11-14
618,90211,Establish,2019-11-14
213,90212,Draw,2019-11-14
59,90213,Five,2019-11-14
551,90214,Meet,2019-11-14
967,90215,Role,2019-11-14
415,90216,Lead,2019-11-14
720,90217,Present,2019-11-14
613,90218,Good,2019-11-14
785,90219,Interview,2019-11-14
920,90220,Smile,2019-11-14
733,90221,Question,2019-11-14
776,90222,Skin,2019-11-14
792,90223,Challenge,2019-11-14
778,90224,By,2019-11-14
192,90225,Make,2019-11-14
663,90226,Billion,2019-11-14
454,90227,Finally,2019-11-14
108,90228,Campaign,2019-11-14
851,90229,Imagine,2019-11-14
908,90230,Field,2019-11-14
7,90231,Oil,2019-11-14
646,90232,Sound,2019-11-14
348,90233,Staff,2019-11-14
495,90234,Price,2019-11-14
803,90235,Stuff,2019-11-14
814,90236,Good,2019-11-14
295,90237,Carry,2019-11-14
283,90238,Dog,2019-11-14
212,90239,Strong,2019-11-14
749,90240,Bill,2019-11-14
956,90241,Still,2019-11-14
103,90242,Report,2019-11-14
899,90243,Building,2019-11-14
889,90244,Someone,2019-11-14
739,90245,Happy,2019-11-14
495,90246,Technology,2019-11-14
365,90247,Sense,2019-11-14
182,90248,Anyone,2019-11-14
853,90249,Or,2019-11-14
938,90250,Keep,2019-11-14
924,90251,Argue,2019-11-14
989,90252,Position,2019-11-14
246,90253,Never,2019-11-14
554,90254,Research,2019-11-14
834,90255,Sense,2019-11-14
676,90256,Strong,2019-11-14
349,90257,Language,2019-11-14
61,90258,Turn,2019-11-14
523,90259,Garden,2019-11-14
517,90260,Event,2019-11-14
397,90261,Bill,2019-11-14
724,90262,Answer,2019-11-14
95,90263,High,2019-11-14
542,90264,Since,2019-11-14
68,90265,Not,2019-11-14
557,90266,Quickly,2019-11-14
593,90267,Away,2019-11-14
434,90268,My,2019-11-14
734,90269,Education,2019-11-14
783,90270,Score,2019-11-14
483,90271,Enjoy,2019-11-14
654,90272,Air,2019-11-14
720,90273,Trouble,2019-11-14
76,90274,Across,2019-11-14
633,90275,Since,2019-11-14
317,90276,Everything,2019-11-14
849,90277,Future,2019-11-14
502,90278,Too,2019-11-14
996,90279,Dinner,2019-11-14
162,90280,About,2019-11-14
386,90281,May,2019-11-14
887,90282,Though,2019-11-14
170,90283,College,2019-11-14
945,90284,Example,2019-11-14
681,90285,Throughout,2019-11-14
54,90286,Environment,2019-11-14
245,90287,Fine,2019-11-14
187,90288,As,2019-11-14
334,90289,Share,2019-11-14
991,90290,Moment,2019-11-14
26,90291,Still,2019-11-14
251,90292,Produce,2019-11-14
168,90293,Dinner,2019-11-14
314,90294,Enter,2019-11-14
468,90295,View,2019-11-14
143,90296,Choose,2019-11-14
883,90297,Better,2019-11-14
736,90298,Economy,2019-11-14
975,90299,Perform,2019-11-14
240,90300,Every,2019-11-14
81,90301,Loss,2019-11-14
404,90302,Follow,2019-11-14
840,90303,Back,2019-11-14
476,90304,Various,2019-11-14
75,90305,Best,2019-11-14
859,90306,Police,2019-11-14
742,90307,Forward,2019-11-14
347,90308,Follow,2019-11-14
98,90309,Off,2019-11-14
979,90310,Your,2019-11-14
782,90311,Condition,2019-11-14
766,90312,Fine,2019-11-14
972,90313,Marriage,2019-11-14
115,90314,Room,2019-11-14
547,90315,Black,2019-11-14
412,90316,Give,2019-11-14
841,90317,Service,2019-11-14
272,90318,Task,2019-11-14
142,90319,Everyone,2019-11-14
505,90320,Opportunity,2019-11-14
430,90321,Development,2019-11-14
218,90322,Board,2019-11-14
177,90323,Later,2019-11-14
875,90324,Camera,2019-11-14
975,90325,Arm,2019-11-14
257,90326,Traditional,2019-11-14
745,90327,East,2019-11-14
892,90328,Take,2019-11-14
114,90329,International,2019-11-14
283,90330,Political,2019-11-14
56,90331,Lead,2019-11-14
325,90332,Think,2019-11-14
925,90333,Conference,2019-11-14
415,90334,Finally,2019-11-14
513,90335,Mean,2019-11-14
508,90336,Sense,2019-11-14
408,90337,Bag,2019-11-14
39,90338,Most,2019-11-14
944,90339,Expect,2019-11-14
288,90340,Suggest,2019-11-14
106,90341,Impact,2019-11-14
86,90342,Occur,2019-11-14
660,90343,Could,2019-11-14
60,90344,Sit,2019-11-14
42,90345,Food,2019-11-14
56,90346,Road,2019-11-14
31,90347,Particular,2019-11-14
184,90348,Few,2019-11-14
869,90349,Apply,2019-11-14
497,90350,Might,2019-11-14
47,90351,Early,2019-11-14
578,90352,Professor,2019-11-14
175,90353,Candidate,2019-11-14
648,90354,Get,2019-11-14
807,90355,Fund,2019-11-14
109,90356,Name,2019-11-14
260,90357,Describe,2019-11-14
981,90358,War,2019-11-14
125,90359,True,2019-11-14
327,90360,Painting,2019-11-14
111,90361,Only,2019-11-14
582,90362,Start,2019-11-14
293,90363,Health,2019-11-14
299,90364,Art,2019-11-14
263,90365,Hundred,2019-11-14
600,90366,Let,2019-11-14
708,90367,Experience,2019-11-14
544,90368,Night,2019-11-14
191,90369,Thing,2019-11-14
115,90370,Great,2019-11-14
209,90371,Modern,2019-11-14
782,90372,Wonder,2019-11-14
315,90373,Eye,2019-11-14
7,90374,Out,2019-11-14
479,90375,Kid,2019-11-14
210,90376,Discussion,2019-11-14
705,90377,Act,2019-11-14
579,90378,Owner,2019-11-14
171,90379,Senior,2019-11-14
116,90380,Land,2019-11-14
570,90381,Through,2019-11-14
745,90382,Ability,2019-11-14
790,90383,History,2019-11-14
879,90384,Dream,2019-11-14
162,90385,Pressure,2019-11-14
935,90386,Paper,2019-11-14
477,90387,Democratic,2019-11-14
798,90388,Effort,2019-11-14
314,90389,Report,2019-11-14
997,90390,Meeting,2019-11-14
901,90391,Offer,2019-11-14
99,90392,Well,2019-11-14
438,90393,Star,2019-11-14
590,90394,In,2019-11-14
334,90395,Think,2019-11-14
143,90396,People,2019-11-14
708,90397,View,2019-11-14
911,90398,Then,2019-11-14
340,90399,Trial,2019-11-14
272,90400,Establish,2019-11-14
69,90401,Play,2019-11-14
539,90402,Kid,2019-11-14
885,90403,Issue,2019-11-14
426,90404,Far,2019-11-14
95,90405,Item,2019-11-14
495,90406,Become,2019-11-14
694,90407,Discover,2019-11-14
304,90408,Weight,2019-11-14
160,90409,Somebody,2019-11-14
757,90410,Suffer,2019-11-14
496,90411,Effort,2019-11-14
54,90412,Pick,2019-11-14
78,90413,Paper,2019-11-14
597,90414,Kind,2019-11-14
872,90415,Line,2019-11-14
363,90416,Approach,2019-11-14
945,90417,Through,2019-11-14
136,90418,Raise,2019-11-14
840,90419,Return,2019-11-14
866,90420,Know,2019-11-14
719,90421,Those,2019-11-14
123,90422,Speech,2019-11-14
28,90423,Indeed,2019-11-14
73,90424,Discussion,2019-11-14
315,90425,Become,2019-11-14
747,90426,System,2019-11-14
811,90427,Evening,2019-11-14
869,90428,Present,2019-11-14
143,90429,You,2019-11-14
155,90430,Congress,2019-11-14
718,90431,Support,2019-11-14
328,90432,Response,2019-11-14
720,90433,Environment,2019-11-14
818,90434,Today,2019-11-14
195,90435,Story,2019-11-14
928,90436,Son,2019-11-14
564,90437,Issue,2019-11-14
584,90438,Shoulder,2019-11-14
857,90439,Action,2019-11-14
412,90440,More,2019-11-14
573,90441,Security,2019-11-14
751,90442,Entire,2019-11-14
521,90443,Need,2019-11-14
703,90444,Adult,2019-11-14
186,90445,Enjoy,2019-11-14
648,90446,Exist,2019-11-14
347,90447,Expert,2019-11-14
228,90448,Break,2019-11-14
508,90449,Science,2019-11-14
475,90450,Keep,2019-11-14
554,90451,Public,2019-11-14
201,90452,Experience,2019-11-14
955,90453,Billion,2019-11-14
761,90454,Name,2019-11-14
796,90455,Civil,2019-11-14
641,90456,Truth,2019-11-14
717,90457,Travel,2019-11-14
915,90458,Ball,2019-11-14
204,90459,Treatment,2019-11-14
154,90460,Rock,2019-11-14
862,90461,Memory,2019-11-14
529,90462,Blue,2019-11-14
487,90463,Research,2019-11-14
63,90464,Out,2019-11-14
140,90465,Church,2019-11-14
651,90466,Use,2019-11-14
279,90467,With,2019-11-14
391,90468,Paper,2019-11-14
458,90469,Drug,2019-11-14
110,90470,Blue,2019-11-14
12,90471,Sit,2019-11-14
157,90472,Until,2019-11-14
721,90473,Man,2019-11-14
128,90474,Physical,2019-11-14
400,90475,Stay,2019-11-14
218,90476,Audience,2019-11-14
532,90477,Son,2019-11-14
485,90478,Instead,2019-11-14
186,90479,Wide,2019-11-14
523,90480,Capital,2019-11-14
44,90481,Talk,2019-11-14
888,90482,Arm,2019-11-14
692,90483,Character,2019-11-14
176,90484,Opportunity,2019-11-14
289,90485,Successful,2019-11-14
231,90486,Son,2019-11-14
340,90487,Kid,2019-11-14
190,90488,Agent,2019-11-14
863,90489,Environmental,2019-11-14
659,90490,General,2019-11-14
652,90491,Approach,2019-11-14
847,90492,Share,2019-11-14
123,90493,Radio,2019-11-14
996,90494,Question,2019-11-14
751,90495,Everything,2019-11-14
968,90496,Leave,2019-11-14
885,90497,On,2019-11-14
539,90498,Rich,2019-11-14
64,90499,Special,2019-11-14
66,90500,Thank,2019-11-14
